weight,to,from
2.0,,선풍기
2.0,,김병완
2.0,,여정
1.0,,포스코플랜텍
1.0,,세종대왕
1.0,,유기성
7.0,오아시스,성공
7.0,오아시스,성장
7.0,오아시스,런칭
7.0,쓱닷컴,성공
7.0,쓱닷컴,성장
7.0,쓱닷컴,런칭
7.0,쿠팡,성공
7.0,쿠팡,성장
7.0,쿠팡,런칭
7.0,브랜드분석,성공
7.0,브랜드분석,성장
7.0,브랜드분석,런칭
7.0,새벽배송,성공
7.0,새벽배송,성장
7.0,새벽배송,런칭
7.0,기업IPO,성공
7.0,기업IPO,성장
7.0,기업IPO,런칭
4.0,광고,동영상
4.0,광고,시청자
4.0,광고,궁금증
4.0,BEAUTYKURLY,동영상
4.0,BEAUTYKURLY,시청자
4.0,BEAUTYKURLY,궁금증
4.0,KURLY,동영상
4.0,KURLY,시청자
4.0,KURLY,궁금증
4.0,알에스아이,동영상
4.0,알에스아이,시청자
4.0,알에스아이,궁금증
4.0,광고제작사,동영상
4.0,광고제작사,시청자
4.0,광고제작사,궁금증
4.0,광고촬영,동영상
4.0,광고촬영,시청자
4.0,광고촬영,궁금증
4.0,브랜드광고,동영상
4.0,브랜드광고,시청자
4.0,브랜드광고,궁금증
4.0,캠페인영상,동영상
4.0,캠페인영상,시청자
4.0,캠페인영상,궁금증
4.0,예술광고,동영상
4.0,예술광고,시청자
4.0,예술광고,궁금증
4.0,BLACKPINK,동영상
4.0,BLACKPINK,시청자
4.0,BLACKPINK,궁금증
4.0,브랜드촬영,동영상
4.0,브랜드촬영,시청자
4.0,브랜드촬영,궁금증
4.0,스토리광고,동영상
4.0,스토리광고,시청자
4.0,스토리광고,궁금증
4.0,광고제작,동영상
4.0,광고제작,시청자
4.0,광고제작,궁금증
4.0,뷰티광고,동영상
4.0,뷰티광고,시청자
4.0,뷰티광고,궁금증
4.0,바이럴영상,동영상
4.0,바이럴영상,시청자
4.0,바이럴영상,궁금증
4.0,바이럴영상제작,동영상
4.0,바이럴영상제작,시청자
4.0,바이럴영상제작,궁금증
4.0,바이럴영상광고,동영상
4.0,바이럴영상광고,시청자
4.0,바이럴영상광고,궁금증
4.0,영상제작,동영상
4.0,영상제작,시청자
4.0,영상제작,궁금증
4.0,바이럴홍보영상,동영상
4.0,바이럴홍보영상,시청자
4.0,바이럴홍보영상,궁금증
4.0,바이럴광고영상,동영상
4.0,바이럴광고영상,시청자
4.0,바이럴광고영상,궁금증
4.0,바이럴광고제작,동영상
4.0,바이럴광고제작,시청자
4.0,바이럴광고제작,궁금증
4.0,제니,동영상
4.0,제니,시청자
4.0,제니,궁금증
4.0,블랙핑크,동영상
4.0,블랙핑크,시청자
4.0,블랙핑크,궁금증
4.0,바이럴동영상,동영상
4.0,바이럴동영상,시청자
4.0,바이럴동영상,궁금증
4.0,유튜브광고,동영상
4.0,유튜브광고,시청자
4.0,유튜브광고,궁금증
4.0,유튜브광고제작,동영상
4.0,유튜브광고제작,시청자
4.0,유튜브광고제작,궁금증
4.0,콘텐츠제작,동영상
4.0,콘텐츠제작,시청자
4.0,콘텐츠제작,궁금증
4.0,광고분석,동영상
4.0,광고분석,시청자
4.0,광고분석,궁금증
13.0,꼬달리,걱정
13.0,꼬달리,선택
13.0,꼬달리,신경
13.0,Caudalie,걱정
13.0,Caudalie,선택
13.0,Caudalie,신경
13.0,비노퍼펙트,걱정
13.0,비노퍼펙트,선택
13.0,비노퍼펙트,신경
13.0,아이크림,걱정
13.0,아이크림,선택
13.0,아이크림,신경
13.0,다크서클개선,걱정
13.0,다크서클개선,선택
13.0,다크서클개선,신경
13.0,브라이트닝,걱정
13.0,브라이트닝,선택
13.0,브라이트닝,신경
13.0,화이트닝,걱정
13.0,화이트닝,선택
13.0,화이트닝,신경
13.0,기능성화장품,걱정
13.0,기능성화장품,선택
13.0,기능성화장품,신경
13.0,클린뷰티,걱정
13.0,클린뷰티,선택
13.0,클린뷰티,신경
13.0,100프로재활용패키지,걱정
13.0,100프로재활용패키지,선택
13.0,100프로재활용패키지,신경
12.0,새벽배송,성공
12.0,새벽배송,정책
12.0,새벽배송,상황
12.0,샛별배송,성공
12.0,샛별배송,정책
12.0,샛별배송,상황
12.0,당일배송,성공
12.0,당일배송,정책
12.0,당일배송,상황
12.0,푸드마켓,성공
12.0,푸드마켓,정책
12.0,푸드마켓,상황
12.0,밀키트,성공
12.0,밀키트,정책
12.0,밀키트,상황
12.0,쿠팡,성공
12.0,쿠팡,정책
12.0,쿠팡,상황
12.0,샛별정원,성공
12.0,샛별정원,정책
12.0,샛별정원,상황
12.0,샛별숲,성공
12.0,샛별숲,정책
12.0,샛별숲,상황
219.0,야명조,성장
219.0,야명조,충청
219.0,야명조,여성
219.0,서이추,성장
219.0,서이추,충청
219.0,서이추,여성
219.0,온라인,성장
219.0,온라인,충청
219.0,온라인,여성
219.0,온라인쇼핑몰,성장
219.0,온라인쇼핑몰,충청
219.0,온라인쇼핑몰,여성
219.0,샛별배송,성장
219.0,샛별배송,충청
219.0,샛별배송,여성
219.0,1인가구,성장
219.0,1인가구,충청
219.0,1인가구,여성
219.0,모닝딜리버리,성장
219.0,모닝딜리버리,충청
219.0,모닝딜리버리,여성
219.0,올리브영,성장
219.0,올리브영,충청
219.0,올리브영,여성
219.0,다이소,성장
219.0,다이소,충청
219.0,다이소,여성
219.0,탑티어,성장
219.0,탑티어,충청
219.0,탑티어,여성
219.0,틈새시장,성장
219.0,틈새시장,충청
219.0,틈새시장,여성
219.0,오퍼레이션,성장
219.0,오퍼레이션,충청
219.0,오퍼레이션,여성
219.0,Operation,성장
219.0,Operation,충청
219.0,Operation,여성
4.0,데일리,생각
4.0,데일리,명시
4.0,데일리,미니어처
4.0,데일리,생각
4.0,데일리,명시
4.0,데일리,미니어처
4.0,백수생활,생각
4.0,백수생활,명시
4.0,백수생활,미니어처
4.0,오늘하루,생각
4.0,오늘하루,명시
4.0,오늘하루,미니어처
4.0,오늘의소비,생각
4.0,오늘의소비,명시
4.0,오늘의소비,미니어처
4.0,코스노리,생각
4.0,코스노리,명시
4.0,코스노리,미니어처
4.0,속눈썹영양제,생각
4.0,속눈썹영양제,명시
4.0,속눈썹영양제,미니어처
4.0,클린잇제로,생각
4.0,클린잇제로,명시
4.0,클린잇제로,미니어처
4.0,바닐라코,생각
4.0,바닐라코,명시
4.0,바닐라코,미니어처
4.0,여행,생각
4.0,여행,명시
4.0,여행,미니어처
4.0,더툴랩,생각
4.0,더툴랩,명시
4.0,더툴랩,미니어처
4.0,브러시클렌징티슈,생각
4.0,브러시클렌징티슈,명시
4.0,브러시클렌징티슈,미니어처
292.0,헬뷰,diet
292.0,헬뷰,kcal
292.0,헬뷰,완벽
292.0,다이어트플레이팅,diet
292.0,다이어트플레이팅,kcal
292.0,다이어트플레이팅,완벽
292.0,헬뷰,diet
292.0,헬뷰,kcal
292.0,헬뷰,완벽
292.0,헬스앤뷰티,diet
292.0,헬스앤뷰티,kcal
292.0,헬스앤뷰티,완벽
292.0,닭가슴살탕수육,diet
292.0,닭가슴살탕수육,kcal
292.0,닭가슴살탕수육,완벽
292.0,다이어트탕수육,diet
292.0,다이어트탕수육,kcal
292.0,다이어트탕수육,완벽
292.0,겉바속쫀탕수닭,diet
292.0,겉바속쫀탕수닭,kcal
292.0,겉바속쫀탕수닭,완벽
292.0,헬스앤뷰티탕수닭,diet
292.0,헬스앤뷰티탕수닭,kcal
292.0,헬스앤뷰티탕수닭,완벽
292.0,탕수닭,diet
292.0,탕수닭,kcal
292.0,탕수닭,완벽
292.0,다이어트플레이팅,diet
292.0,다이어트플레이팅,kcal
292.0,다이어트플레이팅,완벽
292.0,다이어트짜장면,diet
292.0,다이어트짜장면,kcal
292.0,다이어트짜장면,완벽
292.0,더핏누들사천짜장,diet
292.0,더핏누들사천짜장,kcal
292.0,더핏누들사천짜장,완벽
292.0,더핏누들,diet
292.0,더핏누들,kcal
292.0,더핏누들,완벽
292.0,식단관리,diet
292.0,식단관리,kcal
292.0,식단관리,완벽
292.0,id_thsdbswl97,diet
292.0,id_thsdbswl97,kcal
292.0,id_thsdbswl97,완벽
32.0,커머스관련,충성
32.0,커머스관련,성장
32.0,커머스관련,쇼핑몰
32.0,무신사,충성
32.0,무신사,성장
32.0,무신사,쇼핑몰
32.0,W컨셉,충성
32.0,W컨셉,성장
32.0,W컨셉,쇼핑몰
32.0,에이블리,충성
32.0,에이블리,성장
32.0,에이블리,쇼핑몰
32.0,에스아이빌리지,충성
32.0,에스아이빌리지,성장
32.0,에스아이빌리지,쇼핑몰
2.0,산타마리아노벨라,결정
2.0,산타마리아노벨라,건성
2.0,산타마리아노벨라,완전
2.0,산타마리아노벨라수분크림,결정
2.0,산타마리아노벨라수분크림,건성
2.0,산타마리아노벨라수분크림,완전
2.0,산타마리아노벨라장미수크림,결정
2.0,산타마리아노벨라장미수크림,건성
2.0,산타마리아노벨라장미수크림,완전
6.0,2023년6월,선착순
6.0,2023년6월,명시
6.0,2023년6월,캐시
6.0,삼성카드,선착순
6.0,삼성카드,명시
6.0,삼성카드,캐시
6.0,간편결제,선착순
6.0,간편결제,명시
6.0,간편결제,캐시
6.0,이벤트,선착순
6.0,이벤트,명시
6.0,이벤트,캐시
6.0,할인,선착순
6.0,할인,명시
6.0,할인,캐시
6.0,혜택,선착순
6.0,혜택,명시
6.0,혜택,캐시
6.0,네이버페이,선착순
6.0,네이버페이,명시
6.0,네이버페이,캐시
6.0,카카오페이,선착순
6.0,카카오페이,명시
6.0,카카오페이,캐시
6.0,스마일페이,선착순
6.0,스마일페이,명시
6.0,스마일페이,캐시
6.0,삼성페이,선착순
6.0,삼성페이,명시
6.0,삼성페이,캐시
6.0,삼성앱카드,선착순
6.0,삼성앱카드,명시
6.0,삼성앱카드,캐시
6.0,지마켓,선착순
6.0,지마켓,명시
6.0,지마켓,캐시
6.0,옥션,선착순
6.0,옥션,명시
6.0,옥션,캐시
6.0,크림,선착순
6.0,크림,명시
6.0,크림,캐시
6.0,KREAM,선착순
6.0,KREAM,명시
6.0,KREAM,캐시
6.0,솔드아웃,선착순
6.0,솔드아웃,명시
6.0,솔드아웃,캐시
6.0,야놀자,선착순
6.0,야놀자,명시
6.0,야놀자,캐시
6.0,전자랜드,선착순
6.0,전자랜드,명시
6.0,전자랜드,캐시
6.0,뉴발란스,선착순
6.0,뉴발란스,명시
6.0,뉴발란스,캐시
6.0,더바디샵,선착순
6.0,더바디샵,명시
6.0,더바디샵,캐시
6.0,요기요,선착순
6.0,요기요,명시
6.0,요기요,캐시
6.0,VISA카드,선착순
6.0,VISA카드,명시
6.0,VISA카드,캐시
6.0,MASTER카드,선착순
6.0,MASTER카드,명시
6.0,MASTER카드,캐시
1.0,,뷰티용픔
1.0,,영업
1.0,,적용
15.0,내돈내산,소프트
15.0,내돈내산,완성
15.0,내돈내산,콤팩트
15.0,내돈내산,소프트
15.0,내돈내산,완성
15.0,내돈내산,콤팩트
15.0,여름쿨톤블러셔,소프트
15.0,여름쿨톤블러셔,완성
15.0,여름쿨톤블러셔,콤팩트
15.0,여름쿨톤블러셔추천,소프트
15.0,여름쿨톤블러셔추천,완성
15.0,여름쿨톤블러셔추천,콤팩트
15.0,블러셔추천,소프트
15.0,블러셔추천,완성
15.0,블러셔추천,콤팩트
15.0,스틸라,소프트
15.0,스틸라,완성
15.0,스틸라,콤팩트
15.0,스틸라블루밍서울,소프트
15.0,스틸라블루밍서울,완성
15.0,스틸라블루밍서울,콤팩트
15.0,블루밍서울,소프트
15.0,블루밍서울,완성
15.0,블루밍서울,콤팩트
15.0,스틸라글로우파우더블러셔,소프트
15.0,스틸라글로우파우더블러셔,완성
15.0,스틸라글로우파우더블러셔,콤팩트
15.0,볼터치,소프트
15.0,볼터치,완성
15.0,볼터치,콤팩트
15.0,볼터치추천,소프트
15.0,볼터치추천,완성
15.0,볼터치추천,콤팩트
15.0,딸기우유볼터치,소프트
15.0,딸기우유볼터치,완성
15.0,딸기우유볼터치,콤팩트
4.0,ID_monmonde97,건강
4.0,ID_monmonde97,뮤트
4.0,ID_monmonde97,복숭아
43.0,식비절약,적용
43.0,식비절약,쇼핑
43.0,식비절약,전용
3.0,공짜적립금,항균퍼프
3.0,공짜적립금,선택
3.0,공짜적립금,명시
51.0,,아모레퍼시픽
51.0,,대한항공
51.0,,유통업
8.0,Snp,정졍입니
8.0,Snp,snp
8.0,Snp,beauty
8.0,기초화장품세트,정졍입니
8.0,기초화장품세트,snp
8.0,기초화장품세트,beauty
8.0,기초화장품,정졍입니
8.0,기초화장품,snp
8.0,기초화장품,beauty
15.0,현대백화점,신한은행
15.0,현대백화점,민둥산
15.0,현대백화점,선착순
15.0,신세계백화점,신한은행
15.0,신세계백화점,민둥산
15.0,신세계백화점,선착순
15.0,지에스샵,신한은행
15.0,지에스샵,민둥산
15.0,지에스샵,선착순
15.0,CJ더마켓,신한은행
15.0,CJ더마켓,민둥산
15.0,CJ더마켓,선착순
15.0,팔도감,신한은행
15.0,팔도감,민둥산
15.0,팔도감,선착순
15.0,롯데카드,신한은행
15.0,롯데카드,민둥산
15.0,롯데카드,선착순
15.0,주머니가계부,신한은행
15.0,주머니가계부,민둥산
15.0,주머니가계부,선착순
15.0,외벌이4인가족가계부,신한은행
15.0,외벌이4인가족가계부,민둥산
15.0,외벌이4인가족가계부,선착순
15.0,현대백화점,신한은행
15.0,현대백화점,민둥산
15.0,현대백화점,선착순
15.0,신세계백화점,신한은행
15.0,신세계백화점,민둥산
15.0,신세계백화점,선착순
15.0,지에스샵,신한은행
15.0,지에스샵,민둥산
15.0,지에스샵,선착순
15.0,베베쥬,신한은행
15.0,베베쥬,민둥산
15.0,베베쥬,선착순
15.0,남매룩,신한은행
15.0,남매룩,민둥산
15.0,남매룩,선착순
15.0,CJ더마켓,신한은행
15.0,CJ더마켓,민둥산
15.0,CJ더마켓,선착순
15.0,팔도감,신한은행
15.0,팔도감,민둥산
15.0,팔도감,선착순
15.0,롯데카드,신한은행
15.0,롯데카드,민둥산
15.0,롯데카드,선착순
15.0,롯데온,신한은행
15.0,롯데온,민둥산
15.0,롯데온,선착순
15.0,띵쿠폰,신한은행
15.0,띵쿠폰,민둥산
15.0,띵쿠폰,선착순
15.0,주머니가계부,신한은행
15.0,주머니가계부,민둥산
15.0,주머니가계부,선착순
15.0,주머니일기,신한은행
15.0,주머니일기,민둥산
15.0,주머니일기,선착순
15.0,6월가계부,신한은행
15.0,6월가계부,민둥산
15.0,6월가계부,선착순
15.0,외벌이가계부,신한은행
15.0,외벌이가계부,민둥산
15.0,외벌이가계부,선착순
15.0,4인가족,신한은행
15.0,4인가족,민둥산
15.0,4인가족,선착순
15.0,외벌이4인가족가계부,신한은행
15.0,외벌이4인가족가계부,민둥산
15.0,외벌이4인가족가계부,선착순
15.0,앱테크,신한은행
15.0,앱테크,민둥산
15.0,앱테크,선착순
15.0,짠테크,신한은행
15.0,짠테크,민둥산
15.0,짠테크,선착순
15.0,가계부쓰기,신한은행
15.0,가계부쓰기,민둥산
15.0,가계부쓰기,선착순
6.0,Snp,snp
6.0,Snp,선정
6.0,Snp,형성
6.0,Snp콜라겐기획세트,snp
6.0,Snp콜라겐기획세트,선정
6.0,Snp콜라겐기획세트,형성
6.0,콜라겐크림,snp
6.0,콜라겐크림,선정
6.0,콜라겐크림,형성
6.0,명예의전당,snp
6.0,명예의전당,선정
6.0,명예의전당,형성
3.0,,snp
3.0,,건성
3.0,,선정
30.0,Snp,선정
30.0,Snp,걱정
30.0,Snp,구성
30.0,피부탄력,선정
30.0,피부탄력,걱정
30.0,피부탄력,구성
30.0,Snp프리미엄골드콜라겐기획세트,선정
30.0,Snp프리미엄골드콜라겐기획세트,걱정
30.0,Snp프리미엄골드콜라겐기획세트,구성
30.0,콜라겐크림,선정
30.0,콜라겐크림,걱정
30.0,콜라겐크림,구성
30.0,수분크림,선정
30.0,수분크림,걱정
30.0,수분크림,구성
30.0,보습크림,선정
30.0,보습크림,걱정
30.0,보습크림,구성
23.0,Snp,선정
23.0,Snp,라이프스타일
23.0,Snp,snp
23.0,콜라겐크림,선정
23.0,콜라겐크림,라이프스타일
23.0,콜라겐크림,snp
23.0,피부탄력,선정
23.0,피부탄력,라이프스타일
23.0,피부탄력,snp
23.0,미백크림,선정
23.0,미백크림,라이프스타일
23.0,미백크림,snp
23.0,수분크림,선정
23.0,수분크림,라이프스타일
23.0,수분크림,snp
23.0,밀라뷰티,naver
23.0,밀라뷰티,패디플래닝
23.0,밀라뷰티,동영상
23.0,밀라뷰티,naver
23.0,밀라뷰티,패디플래닝
23.0,밀라뷰티,동영상
23.0,양산동속눈썹,naver
23.0,양산동속눈썹,패디플래닝
23.0,양산동속눈썹,동영상
23.0,양산동반영구,naver
23.0,양산동반영구,패디플래닝
23.0,양산동반영구,동영상
23.0,양산동피부관리,naver
23.0,양산동피부관리,패디플래닝
23.0,양산동피부관리,동영상
23.0,첨단속눈썹펌,naver
23.0,첨단속눈썹펌,패디플래닝
23.0,첨단속눈썹펌,동영상
23.0,첨단피부관리,naver
23.0,첨단피부관리,패디플래닝
23.0,첨단피부관리,동영상
23.0,첨단스킨플래닝,naver
23.0,첨단스킨플래닝,패디플래닝
23.0,첨단스킨플래닝,동영상
23.0,첨단패디플래닝,naver
23.0,첨단패디플래닝,패디플래닝
23.0,첨단패디플래닝,동영상
23.0,일곡동속눈썹,naver
23.0,일곡동속눈썹,패디플래닝
23.0,일곡동속눈썹,동영상
23.0,일곡동피부관리,naver
23.0,일곡동피부관리,패디플래닝
23.0,일곡동피부관리,동영상
23.0,광주북구속눈썹펌,naver
23.0,광주북구속눈썹펌,패디플래닝
23.0,광주북구속눈썹펌,동영상
23.0,광주피부관리샵,naver
23.0,광주피부관리샵,패디플래닝
23.0,광주피부관리샵,동영상
23.0,광주반영구,naver
23.0,광주반영구,패디플래닝
23.0,광주반영구,동영상
5.0,리프팅,snp
5.0,리프팅,선정
5.0,리프팅,라이프스타일
5.0,피부탄력,snp
5.0,피부탄력,선정
5.0,피부탄력,라이프스타일
5.0,수분크림,snp
5.0,수분크림,선정
5.0,수분크림,라이프스타일
5.0,미백크림,snp
5.0,미백크림,선정
5.0,미백크림,라이프스타일
47.0,Snp,snp
47.0,Snp,선정
47.0,Snp,라이프스타일
47.0,피부콜라겐,snp
47.0,피부콜라겐,선정
47.0,피부콜라겐,라이프스타일
47.0,콜라겐크림,snp
47.0,콜라겐크림,선정
47.0,콜라겐크림,라이프스타일
47.0,바르는콜라겐,snp
47.0,바르는콜라겐,선정
47.0,바르는콜라겐,라이프스타일
47.0,콜라겐,snp
47.0,콜라겐,선정
47.0,콜라겐,라이프스타일
4.0,,필터
4.0,,영상
4.0,,url
47.0,,cosmetics
47.0,,와중
47.0,,생활
0.0,윈텍글로비스,친절
0.0,윈텍글로비스,전화
0.0,윈텍글로비스,안전
0.0,윈텍글로비스,친절
0.0,윈텍글로비스,전화
0.0,윈텍글로비스,안전
0.0,윈텍글로비스주식,친절
0.0,윈텍글로비스주식,전화
0.0,윈텍글로비스주식,안전
0.0,윈텍글로비스비상장주식,친절
0.0,윈텍글로비스비상장주식,전화
0.0,윈텍글로비스비상장주식,안전
0.0,윈텍글로비스장외주식,친절
0.0,윈텍글로비스장외주식,전화
0.0,윈텍글로비스장외주식,안전
0.0,뷰티스킨,친절
0.0,뷰티스킨,전화
0.0,뷰티스킨,안전
0.0,뷰티스킨주식,친절
0.0,뷰티스킨주식,전화
